2019-11-03 19:22:44,528 [Worker-3: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: tk.mybatis:simple:0.0.1-SNAPSHOT @ D:\workspace\simple\pom.xml.
2019-11-03 19:22:45,461 [Worker-3: Building workspace] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://maven.aliyun.com/nexus/content/groups/public/classworlds/classworlds/1.1-alpha-2/classworlds-1.1-alpha-2.jar
2019-11-03 19:22:45,664 [Worker-3: Building workspace] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://maven.aliyun.com/nexus/content/groups/public/classworlds/classworlds/1.1-alpha-2/classworlds-1.1-alpha-2.jar
2019-11-03 19:22:46,442 [Worker-3: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-11-03 19:22:46,448 [Worker-3: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2019-11-03 19:22:46,470 [Worker-3: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-11-03 19:22:46,471 [Worker-3: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\workspace\simple\src\test\resources
2019-11-03 19:22:46,559 [Worker-0: Loading available Gradle versions] INFO  o.e.b.c.i.u.g.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2019-11-03 19:22:47,365 [Worker-1: Updating Maven Dependencies] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: tk.mybatis:simple:0.0.1-SNAPSHOT @ D:\workspace\simple\pom.xml.
2019-11-03 19:22:47,887 [Worker-2: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-11-03 19:22:47,890 [Worker-2: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-11-03 19:22:47,891 [Worker-2: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-11-03 19:22:47,892 [Worker-2: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\workspace\simple\src\test\resources
2019-11-03 19:24:25,444 [Worker-1: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-11-03 19:24:25,445 [Worker-1: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2019-11-03 19:24:25,471 [Worker-1: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-11-03 19:24:25,472 [Worker-1: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\workspace\simple\src\test\resources
2019-11-03 19:24:35,951 [Worker-15: Launching simple (1)] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\workspace\simple
2019-11-03 19:24:35,951 [Worker-15: Launching simple (1)] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B -s D:\softwares\apache-maven-3.2.1\conf\settings.xml clean compile
2019-11-03 19:25:20,968 [Worker-1: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-11-03 19:25:20,970 [Worker-1: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2019-11-03 19:25:20,986 [Worker-1: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-11-03 19:25:20,987 [Worker-1: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\workspace\simple\src\test\resources
2019-11-03 19:25:28,021 [Worker-1: Updating Maven Project] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2019-11-03 19:25:28,403 [Worker-1: Updating Maven Project] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: tk.mybatis:simple:0.0.1-SNAPSHOT @ D:\workspace\simple\pom.xml.
2019-11-03 19:25:28,677 [Worker-1: Updating Maven Project] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /simple/src/main/java
2019-11-03 19:25:28,677 [Worker-1: Updating Maven Project] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /simple/src/main/resources
2019-11-03 19:25:28,678 [Worker-1: Updating Maven Project] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /simple/src/test/java
2019-11-03 19:25:28,952 [Worker-1: Updating Maven Project] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2019-11-03 19:25:29,533 [Worker-7: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-11-03 19:25:29,534 [Worker-7: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2019-11-03 19:25:29,555 [Worker-7: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-11-03 19:25:29,556 [Worker-7: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\workspace\simple\src\test\resources
2019-11-03 19:25:36,546 [Worker-5: Launching simple (1)] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\workspace\simple
2019-11-03 19:25:36,546 [Worker-5: Launching simple (1)] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B -s D:\softwares\apache-maven-3.2.1\conf\settings.xml clean compile
2019-11-03 19:27:10,549 [Worker-13: Launching simple (1)] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\workspace\simple
2019-11-03 19:27:10,549 [Worker-13: Launching simple (1)] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B -s D:\softwares\apache-maven-3.2.1\conf\settings.xml clean compile
2019-11-03 19:28:46,708 [Worker-4: Launching simple (1)] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\workspace\simple
2019-11-03 19:28:46,708 [Worker-4: Launching simple (1)] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B -s D:\softwares\apache-maven-3.2.1\conf\settings.xml clean compile
2019-11-03 19:30:58,522 [Worker-5: Loading available Gradle versions] INFO  o.e.b.c.i.u.g.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-11-03 19:31:31,082 [Worker-0: Loading available Gradle versions] INFO  o.e.b.c.i.u.g.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-11-03 19:31:52,808 [Worker-0: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-11-03 19:31:52,813 [Worker-0: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2019-11-03 19:31:52,834 [Worker-0: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-11-03 19:31:52,835 [Worker-0: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\workspace\simple\src\test\resources
2019-11-03 19:31:58,294 [Worker-8: Launching simple (1)] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\workspace\simple
2019-11-03 19:31:58,296 [Worker-8: Launching simple (1)] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B -s D:\softwares\apache-maven-3.2.1\conf\settings.xml clean compile
2020-01-29 12:43:31,827 [Worker-6: Loading available Gradle versions] INFO  o.e.b.c.i.u.g.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
